Acceptable,Unacceptable,Unapplicable,,Year: 2012,Acceptable days,,Unacceptable days,,Unapplicable days,,,,,
55,31,14,,Mouth,Nr.,Id.,Nr.,Id.,Nr.,Id.,,,,
,,,,June,1,30,0,None,29,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, ,16, ,17, 16,18, ,19, 20, 21, 22, 23, 24, 25, 26, 27, 28",,,,
,,,,July,28,"1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, ,16, ,17,19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31",3,"4, 18, 30",0,None,,,,
,,,,August,23,"1, 2, 3, 4, 5, 6, 7, 11, 12, 13, 15, ,16,17,19, 20, 21, 22, 24, 25, 28, 29, 31",8,"8, 9, 10, 14, 18, 26, 27, 28",0,None,,,,
,,,,September,13,"6, 7, 13, 14, 15, 18, 19, 20, 21, 25, 26, 27, 28",17,"1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 16, 17, , 22, 23, 24, 29, 30",0,None,,,,
,,,,October,22,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 17, 18, 19, 20, 21, 22, 26, 27, 28, 29, 30, 31",9,"1, 12, 13, 14, 15, 16, 23, 24, 25",0,None,,,,
,,,,November,20,"3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 17, 19, 20, 21, 24, 27, 29, 30",10,"1, 2, 10, 11, 16, 18, 22, 25, 26, 28",0,None,,,,
,,,,December,11,"3, 4, 7, 15, 16, 21, 22, 23, 24, 27, 31",20,"1, 2, 5, 6, 8, 9, 10, 11, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30",0,None,,,,
,,,,Total,118,,67,,29,,,,,
,,,,Total %,55.1402,,31.3084,,13.5514,,,,,
