Acceptable,Unacceptable,Unapplicable,,Year: 2012,Acceptable days,,Unacceptable days,,Unapplicable days,,,,,
70,29,1,,Mouth,Nr.,Id.,Nr.,Id.,Nr.,Id.,,,,
,,,,January,15,"9, 10, 11, 13, 16, 17, 18, 19, 20, 21, 22, 23, 24, 29, 30",16,"1, 2, 3, 4, 5, 6, 7, 8, 12, 14, 15, 25, 26, 27, 28, 31",0,None,,,,
,,,,February,16,"85, 6, 8, 9, 11, 12, 13, 18, 19, 20, 21, 22, 25, 26, 27, 28",12,"1, 2, 3, 4, 7, 10, 14, 15, 16,. 17, 23, 24",0,None,,,,
,,,,March,24,"1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 24, 26, 27, 28, 29, 30, 31",6,"3, 4,14, 15, 22, 25",1,23,,,,
,,,,April,19,"1, 2, 3, 4, 5, 8, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 29, 30",11,"6, 7, 9, 10, 11, 12, 17, 18, 26, 27, 28",0,None,,,,
,,,,May,26,"1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17,  18, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31",5,"7, 14, 19, 20, 23",0,None,,,,
,,,,June,30,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",0,None,0,None,,,,
,,,,July,27,"1, 2, 3, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17,  18,  19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31",4,"4 9, 12, 29",0,None,,,,
,,,,August,25,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 17, 18, 19,  20, 21, 22, 24, 25, 26, 27, 28, 29, 30",6,"12, 14, 15, 16, 23, 3,0",0,None,,,,
,,,,September,26,"1, 2, 3, 4, 6, 7, 8, 9 ,10, 11, 12, 13, 14 ,15, 16, 17 ,18, 19,. 23, 24, 25, 26, 27, 28, 29, 30",4,"5 20, 21, 22",0,None,,,,
,,,,October,19,"6, 7, 8, 10, 12, 13, 15, 16, 19, 20, 21, 22, 23, 24, 25, 28, 29, 30, 31",11,"1, 3, 4, 5, 9, 11, 14, 17, 18, 26, 27",1,2,,,,
,,,,November,20,"1, 2, 3, 4, 5, 8, 9, 10, 12, 13, 14, 15, 20, 21, 22, 23, 24, 25, 27, 28",10,"6, 7, 11, 16, 17, 18, 19, 26, 29, 30",0,None,,,,
,,,,December,10,"1, 2, 3, 4, 5,6 ,12, 13, 18, 26",21,"7, 8, 9,10, 11, 14, 15, 16, 17, n19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31",0,None,,,,
,,,,Total,257,,106,,2,,,,,
,,,,Total %,70.4110,,29.0411,,0.5479,,,,,
