Acceptable,Unacceptable,Unapplicable,,Year: 2012,Acceptable days,,Unacceptable days,,Unapplicable days,
72,23,5,,Mouth,Nr.,Id.,Nr.,Id.,Nr.,Id.
,,,,April,15,"14, 15, 16, 17, 18, 19, 21, 22,23, 26, 27, 28, 29, 30",2,"24, 25",13,"1, 2, 3, 4, 25, 6, 7, 8, 9, 10, 12, 13"
,,,,May,29,"1,2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31",2,"7, 26",0,None
,,,,June,27,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30",3,"15, 19, 21",0,None
,,,,July,28,"1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31",3,"9, 12, 25",0,None
,,,,August,28,"1, 3, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 23, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 29, 30, 31",3,"2, 27, 28",0,None
,,,,September,15,"1, 3, 13, 14, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 30",15,"2, 4, 5, 6, 7, 8, 9, 10, 11, 1215, 16, 17, 23, 29",0,None
,,,,October,19,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 16, 18, 19, 22, 26, 27, 30",12,"13, 14, 15, 17, 20, 21, 23, 24, 25, 28, 29, 31",0,None
,,,,November,17,"2, 3, 4, 5, 6, 7, 11, 12, 13, 14, 16, 17, 20, 23, 24, 21, 29, 30",13,"1, 8, 9, 10, 15, 18, 19, 21, 22, 25, 26, 27, 28",0,None
,,,,December,19,"1, 3, 8, 9, 10, 13, 14, 15, 16, 18, 19, 20, 23, 24, 25, 26, 27, 28, 29",11,"2, 4, 5, 6, 7, 11, 12, 17, 22, 30, 31",1,21
,,,,Total,197,,64,,14,
,,,,Total %,71.6364,,23.2727,,5.0909,
